id,FalseSent,ref1,ref2,ref3
6638,القيادة جيدة للبيئة,القيادة لا تساعد على البيئة,تنبعث من القيادة أبخرة سامة,أثناء قيادة المركبات ينبعث دخان
6639,يقرأ الدببة الكلمات,ليس لدى الدببة ذاكرة لحفظ الكلمات,يقرأ كلمات لا يفعلها الدببة.,الدببة غير قادرة على قراءة الكلمات بعد.
6640,الأفعى تقوم بواجبها المنزلي,الثعابين ليس لها أيدي للقيام بواجبها,الثعابين ليست ذكية بما يكفي لأداء واجباتها المدرسية.,الثعابين هي زواحف ، وهي تفتقر إلى الذكاء الضروري للتطور إلى نوع متحضر يمكنه القيام بالواجبات المنزلية.
6641,الكلاب تقوم بتعليم الطلاب,لا تمتلك الكلاب ما يكفي من المعرفة لتعليم الطلاب,لا يمكن أن تدرس الطلاب من قبل الكلاب.,لا تستطيع الكلاب التحدث أو التواصل بالكلمات.
6642,الطاولة تقاتل.,الطاولة غير قادرة على القتال.,الجدول هو كائن غير حي,الطاولة ليست شيئًا حيًا للقتال
6643,مصباح قيد التشغيل في السباق,المصباح ليس له أرجل,المصباح هو شيء لا يمكن أن يتحرك أو يركض في سباق.,المصباح ليس له أرجل
6644,النمل في الامتحان,النمل لا يحتاج إلى امتحانات,النمل حشرات,النمل ليس ذكيًا بما يكفي لإجراء الاختبارات.
6645,الشمس تتحدث.,تتكلم الشمس بدون فم.,لا تستطيع الكائنات غير الحية التحدث فقط بل يمكنها إنتاج الصوت بعد اصطدامها ببعض الأشياء الأخرى.,الشمس لا تتكلم.
6646,كماشة إصلاح مكيف الهواء,المشابك غير قادرة على إصلاح مكيفات الهواء,كماشة هي كائن غير حي,كماشة لا يمكنها إصلاح تكييف الهواء من تلقاء نفسها.
6647,الزجاجة تختلس النظر في الآخرين.,زجاجات بدون عيون,لا تختلس النظر من الزجاجة.,الزجاجة هي كائن غير حي ليس له عيون.
6648,الكلب ينظف.,لا تستطيع الكلاب التنظيف,يجب أن يتم التنظيف بواسطة شخص لديه إبهام متقابل.,لا يستطيع الكلب التنظيف.
6649,ثعبان يقلب الحائط,الثعابين ليس لها أقدام لتسلق الجدران,الثعبان لا يقلب الحائط.,الثعابين لا تتسلق الجدران.
6650,ستون يلعب كرة السلة,ستون ليس لديه يد للعب كرة السلة,الأحجار هي كائنات غير حية تفتقر إلى القدرة على الحركة.,الحجر ليس بشريا
6651,الحقيبة تغش,الحقيبة ليس لديها القدرة على الحركة,الحقيبة هي شيء ، شيء غير حي.,الغش فعل والحقائب لا تعيش لتتصرف.
6652,الهواتف المحمولة تتحرك على الطاولات,الهواتف المحمولة ليس لديها أيدي لتحريك الطاولات,الهواتف المحمولة هي شيء غير حي,لا تحتوي الهواتف المحمولة على الملحقات اللازمة لنقل الطاولات ، كما أنها صغيرة جدًا لذلك.
6653,فقد دولفين شعره,الدلافين ليس لها شعر,يتمتع الدلفين بطبقة ناعمة وسميكة من الجلد لا تحتوي على غدد زيتية للشعر.,الدلافين ليس لديها شعر لتساقطه.
6654,تنفس الملابس,الملابس ليس لها جهاز تنفسي,الملابس ليست كائنات حية ولا تتنفس.,لا يتم التنفس بواسطة الملابس.
6655,العصا هي شرب مسحوق البروتين.,العصا ليس لها فم لشرب مسحوق البروتين,العصي لا تشرب السوائل.,العصا صلبة نوعًا ما
6656,يلعب الناس الأفلام.,الناس ليس لديهم وظيفة التشغيل,لا يمكن للناس تشغيل الأفلام.,التكنولوجيا المطلوبة لتشغيل الأفلام ليست من مكونات علم وظائف الأعضاء البشرية.
6657,الكتب تسحق الفتيات,الكتب ليست بشر,الكتب ليس لها مشاعر ولا سحق.,الكتب ليس لها مشاعر.
6658,الأغنام تأكل لحم الضأن,الأغنام من الحيوانات العاشبة,الأغنام لا تأكل لحم الضأن.,يتم طهي لحم الضأن الضأن.
6659,Apple هي علامة تجارية وطنية,Apple هي علامة تجارية أمريكية,العلامة التجارية الافتراضية لا تشمل التفاح.,Apple هي علامة تجارية تجارية.
6660,كمبيوتر التحكم بالدراجات,الدراجات ليس لها سيطرة,الدراجة هي وسيلة,الدراجة هي وسيلة مواصلات.
6661,ستون يقاتل,لا يمكن للحجر أن يتصرف بمفرده.,الحجر ليس شيئًا حيًا للقتال.,الحجر هو كائن غير حي
6662,قام توم بشحنه بالخشب.,لا يوفر الخشب الكهرباء.,لا يعطي الخشب أي كهرباء.,من المستحيل استخدام الخشب للشحن لأنه موصل رديء.
6663,يمكن أن يحترق الماء,الماء مادة غير قابلة للاحتراق,الماء غير قابل للاشتعال.,يمكن أن يغلي الماء ويتبخر ولكن لا يمكن حرقه.
6664,الولايات المتحدة هي الصين,الولايات المتحدة بلد,الولايات المتحدة أمريكية.,الولايات المتحدة والصين دولتان منفصلتان.
6665,الكلب يلتقط الصور.,الكلب ليس لديه وظيفة التصوير الفوتوغرافي,لا يستطيع الكلب تشغيل الكاميرا,يمكن أن يلتقط الكلب الصور بفمه أو بفمه ، وفي الواقع يكون النقر فوق الكاميرا والتركيز أمرًا مستحيلًا.
6666,الخشب يتنفس الهواء.,الخشب ليس له جهاز تنفسي,لا يحتوي الخشب على رئتين ، لذلك فهو غير قادر على التنفس.,الخشب ليس شيئًا حيًا.
6667,اخترع ستون تكييف الهواء,الحجر ليس ذكيا بما فيه الكفاية,الأحجار هي أشياء جامدة غير قادرة على التفكير.,تكييف الهواء هو جهاز لا يمكن للحجر اختراعه.
6668,النمل يبنون المنازل.,النمل صغير جدا,يمكن للنمل بناء عش النمل وليس المنازل.,النمل صغير جدًا ويفتقر إلى الذكاء المطلوب لبناء المنازل كما يعرفه البشر.
6669,تحفر البكتيريا آذانهم.,البكتيريا ليس لها آذان,ليس للبكتيريا آذان,البكتيريا مجهرية للغاية بحيث لا تتمكن من الحفر بشكل واضح أو في الأذنين.
6670,القرود تلعب الألعاب.,القرود ليست ذكية بما فيه الكفاية,القرود لا تستطيع ممارسة الألعاب.,القرود لا تلعب ألعابًا حقيقية.
6671,تساعد الحبوب المنومة على الانتعاش,تساعد الحبوب المنومة على النوم,لكي نكون منتعشين ، لا يمكننا استخدام الحبوب المنومة.,الحبوب المنومة تساعد على النوم
6672,ماء السكر مالح جدا.,ماء السكر حلو جدا.,ماء السكر طعمه حلو.,الماء الذي يحتوي على السكر سيكون حلوًا.
6673,الفحم هو طاقة نظيفة,الفحم ضار بالبيئة,يطلق الفحم الكثير من ثاني أكسيد الكربون في الغلاف الجوي.,لا يمكن استخدام الفحم لزيادة جودة الهواء لذا فهو ليس طاقة نظيفة.
